ENT,MUN,LOC,TIPOLOC,OTROTIPO_C,DIS_TRANS,AUTO,MICRO,CAMION,TAXI,BICI,BARCO,AUTOCAB,MICROCAB,CAMIONCAB,TAXICAB,BICICAB,BARCOCAB,TRANSPRIN,FRECUENCIA,TIEMPO,ABASTECIM,AGUACOB,AGUAFUEN,AGUAOFUEN_C,DRENAJE,DRENAJECOB,DDRENAJE,ODDRENAJE_C,LIMCALLE,RECBASURA,DESBASURA,ODESBASURA_C,ALUMBRADO,ENFUENTE,ENOFUENTE_C,ALUMBCOB,MANZANA,RECUBCOB,BANQUETAS,PLAZA,CANCHA,PARQUE,BIBLIOTECA,CULTURA,SALON,FRIJOL,MAIZ,TORTILLA,PAN,ARROZ,LECHE,HUEVO,CARNE,POLLO,PESCADO,FRUTA,TIANGUIS,ABARROTE,DICONSA,LICONSA,FARMACIA,PAPELERIA,FERRETERIA,ROPA,LOZA,MUEBLE,MATERIAL,GAS,GOB_EDO,GOB_MUN,ORG_NG,OTRO_CC,OTRO_CD_C,CLINICA,MEDICO,PARTERA,BRIGADA,PROMOTOR,CURANDERO,TELEFONO,INTERNET,SENALCEL,TELEVISIONA,TELEVISIONP,DINERO,LTRABAJO,ACTAGR_V,ACTAGR_CF,ACTAGR_NO,ACTPEC_V,ACTPEC_CF,ACTPEC_NO,ACTMIN_V,ACTMIN_CF,ACTMIN_NO,ACTFOR_V,ACTFOR_CF,ACTFOR_NO,ACTREC_V,ACTREC_CF,ACTREC_NO,ACTPES_V,ACTPES_CF,ACTPES_NO,ACTART_V,ACTART_CF,ACTART_NO,OTRAACT_V,OTRAACT_CF,OTRAACT_NO,OTRAACT_C,ACT_PRIN,OACT_PRIN_C,PRODUCTO_C1,PRODUCTO_C2,PRODUCTO_C3,AUTMUN,OTRAMUN_C,CEJIDAL,INDIGENA,TRADICIONAL,POLICIA,CONFLICTO1,CONFLICTO2,CONFLICTO3,CONFLICTO4,CONFLICTO5,OCONF,OCONF_D_C,SEQUIA,HELADA,INUNDACION,INCENDIO,TEMBLOR,CICLON,OTRO_DANO,OTRO_DANO_DES_C,AIRE,MOTOR,BASURERO,RUIDO,AGUA,A_NEGRA,RIOS,PESTICIDAS,TERRENOS,PLAGAS,OCONT,OCONT_D_C,HABLALI,USOESC,USOIGL,USOFEST,USOCOMP,USOFAM,USOHOG,PROBLEMA,PROBLEMA_O_C,POBTOT,TAMLOC,LOC_LENGUA40PC
20,002,0002,02,,3,,,,,,,,,,,,,,,,4,,,,3,,,,2,4,,,3,,,,3,,,2,4,6,8,2,3,2,4,6,8,2,4,6,8,2,4,6,2,4,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,1,4,6,7,2,4,2,4,5,7,2,4,1,01,02,,,05,,,,09,,02,,,05,,,08,,,,03,,,06,,1,,111024,111136,,5,089,2,4,6,7,2,4,6,8,2,4,,1,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,4,6,,3,,,,,,,03,,10,1,3
20,002,0003,03,,1,1,3,5,8,2,4,3,3,3,,,,2,2,20,1,1,1,,1,3,5,,1,4,7,,1,1,,1,1,4,4,2,3,5,8,2,3,1,3,5,7,1,3,5,7,1,4,6,2,3,5,8,2,3,2,4,6,8,2,4,2,4,6,8,,1,4,5,7,1,3,2,3,5,7,1,4,1,01,,,,05,,,,09,,,03,,05,,,,09,,,03,,,06,,1,,111027,,,3,,1,4,6,7,2,4,6,8,2,4,,1,4,5,8,2,4,6,,2,4,6,8,2,4,5,8,1,3,6,,1,2,4,6,8,2,3,09,,1517,5,3
20,002,0004,03,,1,2,4,5,8,2,4,,,3,,,,3,4,90,1,2,5,,3,,,,2,4,,,1,1,,4,1,5,4,2,3,6,8,2,4,1,3,5,7,1,3,5,8,1,4,6,2,3,6,8,1,4,2,4,6,8,2,4,2,3,6,8,,1,4,6,8,1,4,2,4,5,8,1,4,1,01,,,04,,,,,09,,02,,,05,,,08,,,,03,,,06,,1,,111027,,,3,,1,4,6,7,2,4,5,8,1,4,,1,3,6,8,1,4,6,,2,4,6,7,2,4,6,8,2,3,6,,1,2,3,5,7,1,3,03,,766,4,3
20,002,0005,02,,3,,,,,,,,,,,,,,,,1,1,1,,3,,,,2,4,,,1,1,,1,3,,,2,4,6,8,2,3,1,3,5,7,1,3,5,8,1,3,6,2,3,6,8,2,4,2,4,6,8,2,4,2,3,6,8,,1,4,6,8,1,4,2,4,6,8,1,4,1,01,02,,,05,,,,09,,,03,,05,,,,09,,,03,,,06,,1,,111027,,,5,998,2,4,6,8,2,4,6,8,2,4,,2,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,4,6,,1,2,4,6,8,1,3,03,,123,2,3
20,002,0006,03,,3,,,,,,,,,,,,,,,,1,2,1,,1,3,1,,2,4,,,1,1,,3,1,5,4,2,4,6,8,2,3,1,3,5,7,1,3,5,8,2,4,6,2,3,6,8,1,4,2,4,6,8,2,4,2,3,6,8,,1,4,6,8,2,4,2,4,6,8,1,4,1,01,,,,05,,,,09,,,03,,05,,,08,,,,03,,,06,,1,,111027,,,3,,2,4,6,7,2,4,6,7,1,4,,1,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,4,5,998,1,9,9,9,9,9,9,10,,851,4,3
20,002,0007,03,,1,1,3,6,8,2,4,1,1,,,,,2,3,20,1,1,1,,3,,,,2,3,7,,1,1,,1,1,5,4,2,3,6,8,1,3,1,3,5,7,1,3,5,8,2,4,6,2,3,6,8,2,3,2,4,6,8,2,3,1,4,6,8,,1,4,6,8,2,4,2,4,6,8,1,4,1,01,,,,05,,,,09,,,03,,05,,,,09,,,03,,,06,,1,,111027,,,3,,1,4,6,7,2,4,6,8,1,4,,1,4,6,8,2,4,6,,1,4,6,8,2,4,6,8,2,4,6,,1,2,4,6,8,2,3,03,,768,4,3
20,002,0008,03,,1,1,4,6,8,2,4,3,,,,,,1,2,60,1,2,1,,3,,,,2,4,,,1,1,,2,1,5,5,2,4,6,8,2,3,1,3,5,7,1,3,5,8,1,4,6,2,3,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,1,3,6,8,2,4,2,4,6,8,1,4,1,,,03,,,06,,,09,,,03,,,06,,,09,,,03,,,06,,,,,,,3,,1,4,6,8,2,4,6,8,2,4,,2,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,1,4,6,,3,,,,,,,09,,663,4,3
20,002,0009,03,,1,2,4,5,8,2,4,,,3,,,,3,4,60,1,2,1,,1,2,3,,1,3,7,,1,1,,1,1,5,5,2,3,6,8,2,3,1,3,5,8,1,3,5,8,1,4,6,2,3,6,8,2,3,2,4,6,8,2,3,2,4,6,8,,1,4,6,7,2,4,2,3,5,8,1,4,1,01,,,04,,,,,09,,,03,,,06,,08,,,,03,,,06,,1,,111027,,,3,,2,4,6,7,2,4,6,7,1,4,,1,4,6,8,2,4,6,,2,4,6,8,2,4,6,7,2,4,6,,1,9,9,9,9,9,9,03,,866,4,3
20,002,0011,03,,1,1,3,6,8,2,4,1,3,,,,,1,4,90,1,3,5,,3,,,,2,3,7,,1,1,,3,1,5,5,2,3,6,8,2,3,1,3,5,7,1,3,5,8,1,3,6,2,3,6,8,2,4,1,4,6,8,2,3,1,4,6,8,,1,4,6,7,2,3,2,3,6,7,1,4,1,01,,,,05,,,,09,,02,,,05,,,08,,,,03,,,06,,1,,111027,,,3,,1,4,6,7,2,4,6,8,1,4,,1,4,6,8,2,4,6,,2,4,6,8,2,4,6,7,2,4,6,,1,1,3,5,7,1,3,03,,628,4,3
20,002,0012,03,,1,1,3,6,7,2,4,1,1,,1,,,2,3,40,1,2,1,,3,,,,2,4,,,1,1,,1,1,4,4,1,3,5,8,2,3,1,3,5,7,1,3,5,7,1,3,5,2,3,5,8,1,3,1,3,5,8,1,3,2,4,6,8,,1,4,5,8,1,3,2,4,5,8,1,4,1,01,02,,04,05,,,,09,,,03,,05,,07,08,,,,03,,,06,,1,,111027,,,3,,1,4,6,8,2,4,6,8,2,4,,2,4,5,8,2,4,6,,2,4,6,8,1,4,5,8,2,4,6,,1,1,3,5,7,1,3,03,,2509,6,1
